NO,éîàÁì™êî,ã[éóåàíË,éEèàï™äJén,éEèàï™èIóπ,,,
138,827,29 ,39 ,39 ,10,10,S
139,1430,29 ,51 ,51 ,22,22,S
140,829,29 ,32 ,36 ,3,7,C
141,585,29 ,40 ,40 ,11,11,S
142,1474,29 ,48 ,57 ,19,28,C
143,1316,29 ,62 ,64 ,,,C
144,1058,29 ,45 ,45 ,,,S
145,521,29 ,35 ,37 ,,,C
146,55,30 ,51 ,51 ,,,C
147,7,30 ,44 ,44 ,,,C
148,45,30 ,43 ,43 ,,,C
149,53,30 ,44 ,44 ,,,C
150,48,30 ,52 ,52 ,,,C
151,41,30 ,44 ,44 ,,,C
152,6,30 ,31 ,31 ,,,C
153,16,30 ,32 ,32 ,,,C
154,2793,30 ,47 ,48 ,,,S
155,312,30 ,53 ,53 ,,,S
156,609,30 ,57 ,58 ,,,C
157,1441,30 ,47 ,48 ,,,C
158,176,30 ,45 ,45 ,,,S
159,798,31 ,51 ,51 ,,,S
160,238,31 ,50 ,50 ,,,C
161,8,31 ,38 ,38 ,,,C
162,884,31 ,32 ,36 ,,,C
163,3,31 ,41 ,41 ,,,C
164,54,31 ,45 ,45 ,,,C
165,198,31 ,31 ,31 ,,,C
166,9,31 ,42 ,42 ,,,C
167,165,31 ,40 ,40 ,,,C
168,26,31 ,36 ,36 ,,,C
169,115,31 ,41 ,41 ,,,C
170,1,31 ,32 ,32 ,,,C
171,381,32 ,40 ,41 ,,,S
172,64,32 ,48 ,48 ,,,C
173,32,32 ,39 ,39 ,,,C
174,4,32 ,38 ,38 ,,,C
175,67,32 ,47 ,47 ,,,C
176,118,32 ,46 ,47 ,,,C
177,1873,32 ,39 ,41 ,,,S
178,24,32 ,48 ,48 ,,,C
179,62,32 ,49 ,49 ,,,C
180,997,32 ,57 ,57 ,,,S
181,286,33 ,35 ,37 ,,,C
182,252,33 ,47 ,48 ,,,C
183,91,33 ,37 ,38 ,,,C
184,15,33 ,45 ,45 ,,,C
185,2,33 ,35 ,35 ,,,O
186,6,33 ,46 ,46 ,,,C
187,165,33 ,34 ,36 ,,,C
188,321,33 ,43 ,43 ,,,S
189,355,33 ,37 ,37 ,,,S
190,5509,33 ,38 ,40 ,,,S
191,1210,33 ,42 ,42 ,,,S
192,24,33 ,57 ,57 ,,,C
193,23,34 ,50 ,50 ,,,C
194,441,34 ,37 ,39 ,,,C
195,3,34 ,36 ,36 ,,,C
196,334,34 ,35 ,35 ,,,O
197,18,34 ,48 ,48 ,,,C
198,26,34 ,48 ,48 ,,,C
199,179,34 ,42 ,42 ,,,C
200,24,35 ,50 ,50 ,,,C
201,107,35 ,44 ,44 ,,,C
202,59,35 ,37 ,37 ,,,C
203,40,35 ,42 ,42 ,,,C
204,2135,35 ,38 ,39 ,,,S
205,9,35 ,38 ,38 ,,,C
206,14,35 ,50 ,50 ,,,C
207,157,35 ,48 ,48 ,,,C
208,7,35 ,49 ,49 ,,,C
209,96,36 ,46 ,46 ,,,C
210,33,36 ,50 ,50 ,,,C
211,228,36 ,38 ,39 ,,,C
212,560,36 ,41 ,41 ,,,S
213,1239,36 ,47 ,47 ,,,S
214,80,36 ,51 ,51 ,,,S
215,2319,36 ,58 ,63 ,,,C
216,25,36 ,48 ,48 ,,,C
217,16,36 ,42 ,42 ,,,C
218,15,37 ,41 ,41 ,,,C
219,10,37 ,39 ,39 ,,,C
220,21,38 ,51 ,51 ,,,C
221,2960,38 ,45 ,47 ,,,S
222,45,38 ,45 ,45 ,,,C
223,16,38 ,43 ,44 ,,,C
224,552,39 ,48 ,48 ,,,S
225,287,39 ,52 ,52 ,,,S
226,4222,39 ,59 ,65 ,,,C
227,1018,39 ,57 ,58 ,,,C
228,620,39 ,59 ,60 ,,,C
229,33,39 ,42 ,42 ,,,C
230,46,39 ,53 ,53 ,,,C
231,48,40 ,57 ,57 ,,,C
232,411,40 ,45 ,46 ,,,C
233,3,40 ,46 ,46 ,,,C
234,876,40 ,50 ,53 ,,,C
235,4,40 ,42 ,42 ,,,C
236,35,40 ,43 ,43 ,,,C
237,64,40 ,41 ,41 ,,,C
238,39,41 ,51 ,51 ,,,C
239,41,41 ,52 ,52 ,,,C
240,23,41 ,49 ,49 ,,,C
241,84,41 ,49 ,49 ,,,C
242,252,41 ,44 ,44 ,,,C
243,28,41 ,45 ,45 ,,,C
244,12,41 ,46 ,46 ,,,C
245,68,41 ,52 ,52 ,,,C
246,13,41 ,49 ,49 ,,,C
247,4837,42 ,44 ,46 ,,,S
248,5,42 ,49 ,49 ,,,C
249,43,42 ,55 ,55 ,,,C
250,26,42 ,50 ,50 ,,,C
251,295,42 ,55 ,55 ,,,C
252,787,42 ,44 ,46 ,,,C
253,56,43 ,51 ,51 ,,,C
254,842,43 ,47 ,47 ,,,S
255,2187,43 ,52 ,52 ,,,S
256,119,43 ,48 ,48 ,,,C
257,4832,43 ,53 ,57 ,,,S
258,793,43 ,60 ,60 ,,,S
259,22,43 ,56 ,56 ,,,C
260,662,43 ,52 ,52 ,,,S
261,86,43 ,46 ,46 ,,,C
262,42,43 ,59 ,59 ,,,C
263,6,43 ,46 ,46 ,,,C
264,22,44 ,49 ,49 ,,,C
265,70,44 ,55 ,55 ,,,C
266,12,44 ,49 ,49 ,,,C
267,617,44 ,52 ,52 ,,,S
268,80,44 ,47 ,47 ,,,C
269,307,45 ,52 ,52 ,,,S
270,43,45 ,49 ,49 ,,,C
271,67,46 ,59 ,59 ,,,C
272,372,46 ,51 ,52 ,,,C
273,915,46 ,49 ,49 ,,,S
274,25,47 ,50 ,50 ,,,C
275,51,48 ,53 ,53 ,,,C
276,2585,49 ,59 ,60 ,,,S
277,1332,49 ,61 ,61 ,,,S
278,332,49 ,62 ,62 ,,,C
279,238,50 ,51 ,51 ,,,C
280,1807,51 ,55 ,55 ,,,S
281,622,51 ,57 ,57 ,,,S
282,542,51 ,51 ,52 ,,,C
283,364,51 ,51 ,52 ,,,C
284,1339,52 ,52 ,52 ,,,S
285,73,52 ,55 ,55 ,,,C
286,2426,52 ,56 ,61 ,,,C
287,6172,53 ,57 ,58 ,,,S
288,33,54 ,54 ,55 ,,,C
289,243,57 ,57 ,57 ,,,C
290,38,59 ,59 ,60 ,,,C
291,16,75 ,75 ,76 ,,,C
293,,,,,,,
294,,,,,,,
295,,,,,,,
296,,,,,,,
297,,,,,,,
298,,,,,,,
299,,,,,,,
300,,,,,,,
301,,,,,,,
302,,,,,,,
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,,,,,,,
314,,,,,,,
315,,,,,,,
316,,,,,,,
317,,,,,,,
